mese,denominazione_regione,codice_regione,lat,long,notifiche_inviate,utenti_positivi
2020-09-30 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,256,12
2020-09-30 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,69,-1
2020-09-30 00:01:00,P.A. Trento,4,46.06893511,11.12123097,55,-1
2020-09-30 00:01:00,Umbria,10,42.833735495,12.51746724,27,-1
2020-09-30 00:01:00,Basilicata,17,40.653491145000004,16.20153638,47,-1
2020-09-30 00:01:00,P.A. Bolzano,4,46.499334530000006,11.356624219999999,58,-1
2020-09-30 00:01:00,Lazio,12,41.964455604,12.74106344,390,17
2020-09-30 00:01:00,Molise,14,41.5728779,14.44245729,-1,-1
2020-09-30 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,8,-1
2020-09-30 00:01:00,Liguria,7,44.177938535,8.817461963,89,7
2020-09-30 00:01:00,Marche,11,43.368189516,13.436142725999998,158,7
2020-09-30 00:01:00,Abruzzo,13,42.4564388275,13.871007975,129,10
2020-09-30 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,936,59
2020-09-30 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,12,-1
2020-09-30 00:01:00,Calabria,18,38.812980146,16.344182868,18,-1
2020-09-30 00:01:00,Campania,15,40.92723816,14.583892388,43,-1
2020-09-30 00:01:00,Puglia,16,40.88008174833333,17.009317835,128,6
2020-09-30 00:01:00,Sicilia,19,37.57610475888889,14.274259175555557,58,-1
2020-09-30 00:01:00,Sardegna,20,39.86708044,8.8236011314,112,10
2020-09-30 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,281,16
2020-10-31 00:01:00,Sicilia,19,37.57610475888889,14.274259175555555,1244,36
2020-10-31 00:01:00,Calabria,18,38.812980146,16.344182868,181,-1
2020-10-31 00:01:00,Veneto,5,45.529245151428576,11.858031792857144,2982,71
2020-10-31 00:01:00,Basilicata,17,40.653491145000004,16.20153638,91,-1
2020-10-31 00:01:00,Lazio,12,41.964455604,12.74106344,7249,216
2020-10-31 00:01:00,Friuli Venezia Giulia,6,45.9019810475,13.321282225000001,418,24
2020-10-31 00:01:00,Umbria,10,42.833735495,12.51746724,479,24
2020-10-31 00:01:00,Molise,14,41.5728779,14.44245729,39,-1
2020-10-31 00:01:00,P.A. Trento,4,46.06893511,11.12123097,709,43
2020-10-31 00:01:00,Sardegna,20,39.86708044,8.8236011314,651,18
2020-10-31 00:01:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,8157,256
2020-10-31 00:01:00,Valle d'Aosta,2,45.73750286,7.320149366,249,37
2020-10-31 00:01:00,P.A. Bolzano,4,46.49933453,11.35662422,1682,57
2020-10-31 00:01:00,Liguria,7,44.177938535,8.817461962999998,1877,95
2020-10-31 00:01:00,Campania,15,40.92723816000001,14.583892388,1141,-1
2020-10-31 00:01:00,Marche,11,43.368189516,13.436142726,1113,65
2020-10-31 00:01:00,Lombardia,3,45.56078509583333,9.583767741666668,14807,433
2020-10-31 00:01:00,Estero,-1,-1.0,-1.0,31,-1
2020-10-31 00:01:00,Piemonte,1,45.1920620725,8.212714241625001,5491,172
2020-10-31 00:01:00,Abruzzo,13,42.4564388275,13.871007975,1361,77
