settimana,denominazione_regione,codice_regione,lat,long,notifiche_inviate,utenti_positivi
2020-08-31 00:00:00,Abruzzo,13,42.4564388275,13.871007974999998,69,-1
2020-08-31 00:00:00,Puglia,16,40.88008174833333,17.009317835,76,-1
2020-08-31 00:00:00,Lazio,12,41.964455604,12.741063440000003,69,-1
2020-08-31 00:00:00,P.A. Bolzano,4,46.49933453,11.35662422,16,-1
2020-08-31 00:00:00,Piemonte,1,45.1920620725,8.212714241625,32,-1
2020-08-31 00:00:00,Veneto,5,45.52924515142858,11.858031792857144,24,-1
2020-09-07 00:00:00,Liguria,7,44.177938535,8.817461963,18,-1
2020-09-07 00:00:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,54,-1
2020-09-07 00:00:00,Lombardia,3,45.56078509583334,9.583767741666668,271,15
2020-09-07 00:00:00,Veneto,5,45.52924515142858,11.858031792857144,18,-1
2020-09-07 00:00:00,Estero,-1,-1.0,-1.0,-1,-1
2020-09-07 00:00:00,Basilicata,17,40.65349114500001,16.201536379999997,-1,-1
2020-09-07 00:00:00,Lazio,12,41.964455604,12.741063440000003,66,-1
2020-09-07 00:00:00,Umbria,10,42.83373549499999,12.51746724,9,-1
2020-09-07 00:00:00,Friuli Venezia Giulia,6,45.901981047499994,13.321282225000003,-1,-1
2020-09-07 00:00:00,Marche,11,43.36818951599999,13.436142726,88,-1
2020-09-07 00:00:00,Piemonte,1,45.1920620725,8.212714241625,49,-1
2020-09-07 00:00:00,Puglia,16,40.88008174833333,17.009317835,20,-1
2020-09-07 00:00:00,Campania,15,40.927238159999995,14.583892387999999,8,-1
2020-09-07 00:00:00,Toscana,9,43.62771252200001,10.895122839999999,36,-1
2020-09-07 00:00:00,Sicilia,19,37.576104758888896,14.274259175555557,10,-1
2020-09-07 00:00:00,P.A. Trento,4,46.06893510999999,11.12123097,-1,-1
2020-09-07 00:00:00,Abruzzo,13,42.4564388275,13.871007974999998,32,-1
2020-09-07 00:00:00,Sardegna,20,39.867080439999995,8.823601131399998,24,-1
2020-09-07 00:00:00,Molise,14,41.5728779,14.442457289999997,-1,-1
2020-09-07 00:00:00,Calabria,18,38.81298014600001,16.344182867999994,-1,-1
2020-09-07 00:00:00,P.A. Bolzano,4,46.49933453,11.35662422,33,-1
2020-09-07 00:00:00,Valle d'Aosta,2,45.73750286,7.320149366000001,-1,-1
2020-09-14 00:00:00,Toscana,9,43.62771252200001,10.895122839999999,183,-1
2020-09-14 00:00:00,Lazio,12,41.964455604,12.741063440000003,37,-1
2020-09-14 00:00:00,Abruzzo,13,42.4564388275,13.871007974999998,43,-1
2020-09-14 00:00:00,Basilicata,17,40.65349114500001,16.201536379999997,40,-1
2020-09-14 00:00:00,Molise,14,41.5728779,14.442457289999997,-1,-1
2020-09-14 00:00:00,Lombardia,3,45.56078509583334,9.583767741666668,213,13
2020-09-14 00:00:00,Veneto,5,45.52924515142858,11.858031792857144,19,-1
2020-09-14 00:00:00,Sicilia,19,37.576104758888896,14.274259175555557,8,-1
2020-09-14 00:00:00,Puglia,16,40.88008174833333,17.009317835,46,-1
2020-09-14 00:00:00,Calabria,18,38.81298014600001,16.344182867999994,-1,-1
2020-09-14 00:00:00,Piemonte,1,45.1920620725,8.212714241625,22,-1
2020-09-14 00:00:00,Umbria,10,42.83373549499999,12.51746724,12,-1
2020-09-14 00:00:00,Valle d'Aosta,2,45.73750286,7.320149366000001,-1,-1
2020-09-14 00:00:00,Liguria,7,44.177938535,8.817461963,6,-1
2020-09-14 00:00:00,Sardegna,20,39.867080439999995,8.823601131399998,-1,-1
2020-09-14 00:00:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,83,-1
2020-09-14 00:00:00,P.A. Bolzano,4,46.49933453,11.35662422,12,-1
2020-09-14 00:00:00,Friuli Venezia Giulia,6,45.901981047499994,13.321282225000003,-1,-1
2020-09-14 00:00:00,Marche,11,43.36818951599999,13.436142726,45,-1
2020-09-14 00:00:00,Estero,-1,-1.0,-1.0,-1,-1
2020-09-14 00:00:00,P.A. Trento,4,46.06893510999999,11.12123097,-1,-1
2020-09-14 00:00:00,Campania,15,40.927238159999995,14.583892387999999,8,-1
2020-09-21 00:00:00,Emilia-Romagna,8,44.580836732222224,11.260342458444445,45,-1
2020-09-21 00:00:00,Sicilia,19,37.576104758888896,14.274259175555557,-1,-1
2020-09-21 00:00:00,Toscana,9,43.62771252200001,10.895122839999999,42,-1
2020-09-21 00:00:00,Estero,-1,-1.0,-1.0,-1,-1
2020-09-21 00:00:00,Sardegna,20,39.867080439999995,8.823601131399998,45,-1
2020-09-21 00:00:00,Molise,14,41.5728779,14.442457289999997,-1,-1
2020-09-21 00:00:00,Piemonte,1,45.1920620725,8.212714241625,102,-1
2020-09-21 00:00:00,Valle d'Aosta,2,45.73750286,7.320149366000001,-1,-1
2020-09-21 00:00:00,P.A. Trento,4,46.06893510999999,11.12123097,38,-1
2020-09-21 00:00:00,Umbria,10,42.83373549499999,12.51746724,-1,-1
2020-09-21 00:00:00,Friuli Venezia Giulia,6,45.901981047499994,13.321282225000003,-1,-1
2020-09-21 00:00:00,Puglia,16,40.88008174833333,17.009317835,13,-1
2020-09-21 00:00:00,Liguria,7,44.177938535,8.817461963,31,-1
2020-09-21 00:00:00,Lombardia,3,45.56078509583334,9.583767741666668,223,17
2020-09-21 00:00:00,Marche,11,43.36818951599999,13.436142726,-1,-1
2020-09-21 00:00:00,Basilicata,17,40.65349114500001,16.201536379999997,6,-1
2020-09-21 00:00:00,P.A. Bolzano,4,46.49933453,11.35662422,-1,-1
2020-09-21 00:00:00,Campania,15,40.927238159999995,14.583892387999999,12,-1
2020-09-21 00:00:00,Calabria,18,38.81298014600001,16.344182867999994,-1,-1
2020-09-21 00:00:00,Lazio,12,41.964455604,12.741063440000003,97,7
