data,notifiche_inviate,utenti_positivi,notifiche_inviate_totali,utenti_positivi_totali
2020-10-21 00:00:00,3311,135,22796,1134
2020-10-22 00:00:00,2760,68,25556,1202
2020-10-23 00:00:00,2384,90,27940,1292
2020-10-24 00:00:00,2789,54,30729,1346
2020-10-25 00:00:00,2210,44,32939,1390
2020-10-26 00:00:00,3292,140,36231,1530
2020-10-27 00:00:00,5195,143,41426,1673
2020-10-28 00:00:00,4522,102,45948,1775
2020-10-29 00:00:00,3968,151,49916,1926
2020-10-30 00:00:00,4736,180,54652,2106
2020-10-31 00:00:00,3867,86,58519,2192
2020-11-01 00:00:00,2516,71,61035,2263
2020-11-02 00:00:00,2511,125,63546,2388
2020-11-03 00:00:00,3056,142,66602,2530
2020-11-04 00:00:00,2272,155,68874,2685
2020-11-05 00:00:00,1600,161,70474,2846
2020-11-06 00:00:00,1482,152,71956,2998
2020-11-07 00:00:00,942,97,72898,3095
2020-11-08 00:00:00,399,53,73297,3148
2020-11-09 00:00:00,386,135,73683,3283
2020-11-10 00:00:00,553,189,74236,3472
2020-11-11 00:00:00,707,188,74943,3660
2020-11-12 00:00:00,640,179,75583,3839
2020-11-13 00:00:00,513,136,76096,3975
2020-11-14 00:00:00,316,80,76412,4055
2020-11-15 00:00:00,275,100,76687,4155
2020-11-16 00:00:00,334,150,77021,4305
2020-11-17 00:00:00,270,136,77291,4441
2020-11-18 00:00:00,331,197,77622,4638
2020-11-19 00:00:00,279,160,77901,4798
2020-11-20 00:00:00,260,123,78161,4921
2020-11-21 00:00:00,181,87,78342,5008
2020-11-22 00:00:00,131,60,78473,5068
2020-11-23 00:00:00,165,122,78638,5190
2020-11-24 00:00:00,203,111,78841,5301
2020-11-25 00:00:00,208,115,79049,5416
2020-11-26 00:00:00,272,105,79321,5521
2020-11-27 00:00:00,167,85,79488,5606
2020-11-28 00:00:00,108,51,79596,5657
2020-11-29 00:00:00,53,29,79649,5686
2020-11-30 00:00:00,108,59,79757,5745
2020-12-01 00:00:00,143,71,79900,5816
2020-12-02 00:00:00,184,68,80084,5884
2020-12-03 00:00:00,157,68,80241,5952
2020-12-04 00:00:00,110,53,80351,6005
2020-12-05 00:00:00,101,26,80452,6031
2020-12-06 00:00:00,76,24,80528,6055
2020-12-07 00:00:00,90,65,80618,6120
2020-12-08 00:00:00,101,29,80719,6149
2020-12-09 00:00:00,103,59,80822,6208
2020-12-10 00:00:00,123,63,80945,6271
2020-12-11 00:00:00,153,62,81098,6333
2020-12-12 00:00:00,102,47,81200,6380
2020-12-13 00:00:00,74,39,81274,6419
2020-12-14 00:00:00,103,70,81377,6489
2020-12-15 00:00:00,209,95,81586,6584
2020-12-16 00:00:00,229,103,81815,6687
2020-12-17 00:00:00,184,75,81999,6762
2020-12-18 00:00:00,278,100,82277,6862
2020-12-19 00:00:00,142,46,82419,6908
2020-12-20 00:00:00,85,23,82504,6931
2020-12-21 00:00:00,156,100,82660,7031
2020-12-22 00:00:00,245,79,82905,7110
2020-12-23 00:00:00,176,92,83081,7202
2020-12-24 00:00:00,163,60,83244,7262
2020-12-25 00:00:00,87,26,83331,7288
2020-12-26 00:00:00,60,31,83391,7319
2020-12-27 00:00:00,52,39,83443,7358
2020-12-28 00:00:00,114,66,83557,7424
2020-12-29 00:00:00,137,78,83694,7502
2020-12-30 00:00:00,163,95,83857,7597
2020-12-31 00:00:00,141,85,83998,7682
2021-01-01 00:00:00,49,34,84047,7716
2021-01-02 00:00:00,32,59,84079,7775
2021-01-03 00:00:00,32,74,84111,7849
2021-01-04 00:00:00,53,78,84164,7927
2021-01-05 00:00:00,46,70,84210,7997
2021-01-06 00:00:00,53,30,84263,8027
2021-01-07 00:00:00,44,132,84307,8159
2021-01-08 00:00:00,41,103,84348,8262
2021-01-09 00:00:00,49,58,84397,8320
2021-01-10 00:00:00,25,33,84422,8353
2021-01-11 00:00:00,38,116,84460,8469
2021-01-12 00:00:00,51,112,84511,8581
2021-01-13 00:00:00,28,79,84539,8660
2021-01-14 00:00:00,65,86,84604,8746
2021-01-15 00:00:00,58,69,84662,8815
2021-01-16 00:00:00,23,36,84685,8851
2021-01-17 00:00:00,26,50,84711,8901
2021-01-18 00:00:00,54,98,84765,8999
2021-01-19 00:00:00,66,61,84831,9060
2021-01-20 00:00:00,48,92,84879,9152
2021-01-21 00:00:00,87,83,84966,9235
2021-01-22 00:00:00,68,94,85034,9329
2021-01-23 00:00:00,55,61,85089,9390
2021-01-24 00:00:00,66,52,85155,9442
2021-01-25 00:00:00,70,78,85225,9520
2021-01-26 00:00:00,60,53,85285,9573
2021-01-27 00:00:00,59,83,85344,9656
2021-01-28 00:00:00,88,102,85432,9758
2021-01-29 00:00:00,101,108,85533,9866
2021-01-30 00:00:00,96,64,85629,9930
2021-01-31 00:00:00,65,43,85694,9973
2021-02-01 00:00:00,125,83,85819,10056
2021-02-02 00:00:00,250,135,86069,10191
2021-02-03 00:00:00,192,100,86261,10291
2021-02-04 00:00:00,197,102,86458,10393
2021-02-05 00:00:00,243,123,86701,10516
2021-02-06 00:00:00,133,56,86834,10572
2021-02-07 00:00:00,126,73,86960,10645
2021-02-08 00:00:00,155,92,87115,10737
2021-02-09 00:00:00,179,110,87294,10847
2021-02-10 00:00:00,202,101,87496,10948
2021-02-11 00:00:00,233,123,87729,11071
2021-02-12 00:00:00,255,121,87984,11192
2021-02-13 00:00:00,137,65,88121,11257
2021-02-14 00:00:00,96,41,88217,11298
2021-02-15 00:00:00,144,89,88361,11387
2021-02-16 00:00:00,197,83,88558,11470
2021-02-17 00:00:00,153,84,88711,11554
2021-02-18 00:00:00,170,108,88881,11662
2021-02-19 00:00:00,232,114,89113,11776
2021-02-20 00:00:00,196,97,89309,11873
2021-02-21 00:00:00,117,56,89426,11929
2021-02-22 00:00:00,188,110,89614,12039
2021-02-23 00:00:00,148,79,89762,12118
2021-02-24 00:00:00,234,150,89996,12268
2021-02-25 00:00:00,235,142,90231,12410
2021-02-26 00:00:00,288,135,90519,12545
2021-02-27 00:00:00,223,100,90742,12645
2021-02-28 00:00:00,186,95,90928,12740
2021-03-01 00:00:00,224,126,91152,12866
2021-03-02 00:00:00,155,99,91307,12965
2021-03-03 00:00:00,188,121,91495,13086
2021-03-04 00:00:00,203,129,91698,13215
2021-03-05 00:00:00,247,139,91945,13354
2021-03-06 00:00:00,170,99,92115,13453
2021-03-07 00:00:00,118,76,92233,13529
2021-03-08 00:00:00,153,121,92386,13650
2021-03-09 00:00:00,150,69,92536,13719
2021-03-10 00:00:00,174,105,92710,13824
2021-03-11 00:00:00,137,92,92847,13916
2021-03-12 00:00:00,167,108,93014,14024
2021-03-13 00:00:00,131,74,93145,14098
2021-03-14 00:00:00,80,44,93225,14142
2021-03-15 00:00:00,105,96,93330,14238
2021-03-16 00:00:00,131,91,93461,14329
2021-03-17 00:00:00,205,148,93666,14477
2021-03-18 00:00:00,125,82,93791,14559
2021-03-19 00:00:00,159,89,93950,14648
2021-03-20 00:00:00,113,74,94063,14722
2021-03-21 00:00:00,83,56,94146,14778
2021-03-22 00:00:00,88,65,94234,14843
2021-03-23 00:00:00,93,84,94327,14927
2021-03-24 00:00:00,109,73,94436,15000
2021-03-25 00:00:00,83,78,94519,15078
2021-03-26 00:00:00,99,78,94618,15156
2021-03-27 00:00:00,51,58,94669,15214
2021-03-28 00:00:00,85,44,94754,15258
2021-03-29 00:00:00,49,66,94803,15324
2021-03-30 00:00:00,62,75,94865,15399
2021-03-31 00:00:00,68,55,94933,15454
2021-04-01 00:00:00,92,72,95025,15526
2021-04-02 00:00:00,120,106,95145,15632
2021-04-03 00:00:00,74,56,95219,15688
2021-04-04 00:00:00,46,36,95265,15724
2021-04-05 00:00:00,46,32,95311,15756
2021-04-06 00:00:00,55,31,95366,15787
2021-04-07 00:00:00,75,60,95441,15847
2021-04-08 00:00:00,67,107,95508,15954
2021-04-09 00:00:00,97,120,95605,16074
2021-04-10 00:00:00,128,120,95733,16194
2021-04-11 00:00:00,102,99,95835,16293
2021-04-12 00:00:00,82,96,95917,16389
2021-04-13 00:00:00,103,112,96020,16501
2021-04-14 00:00:00,94,105,96114,16606
2021-04-15 00:00:00,96,97,96210,16703
2021-04-16 00:00:00,99,101,96309,16804
2021-04-17 00:00:00,94,84,96403,16888
2021-04-18 00:00:00,67,79,96470,16967
2021-04-19 00:00:00,137,101,96607,17068
2021-04-20 00:00:00,78,82,96685,17150
2021-04-21 00:00:00,63,93,96748,17243
2021-04-22 00:00:00,70,85,96818,17328
2021-04-23 00:00:00,89,108,96907,17436
2021-04-24 00:00:00,99,83,97006,17519
2021-04-25 00:00:00,78,83,97084,17602
2021-04-26 00:00:00,73,80,97157,17682
2021-04-27 00:00:00,82,83,97239,17765
2021-04-28 00:00:00,61,93,97300,17858
2021-04-29 00:00:00,90,103,97390,17961
2021-04-30 00:00:00,85,83,97475,18044
2021-05-01 00:00:00,75,64,97550,18108
2021-05-02 00:00:00,73,48,97623,18156
2021-05-03 00:00:00,54,71,97677,18227
2021-05-04 00:00:00,78,43,97755,18270
2021-05-05 00:00:00,75,71,97830,18341
2021-05-06 00:00:00,87,69,97917,18410
2021-05-07 00:00:00,67,47,97984,18457
2021-05-08 00:00:00,71,54,98055,18511
2021-05-09 00:00:00,72,39,98127,18550
2021-05-10 00:00:00,0,0,98127,18550
2021-05-11 00:00:00,57,60,98184,18610
2021-05-12 00:00:00,70,61,98254,18671
2021-05-13 00:00:00,36,36,98290,18707
2021-05-14 00:00:00,37,27,98327,18734
2021-05-15 00:00:00,42,33,98369,18767
2021-05-16 00:00:00,40,32,98409,18799
2021-05-17 00:00:00,17,37,98426,18836
2021-05-18 00:00:00,42,29,98468,18865
2021-05-19 00:00:00,23,21,98491,18886
2021-05-20 00:00:00,44,29,98535,18915
2021-05-21 00:00:00,27,19,98562,18934
2021-05-22 00:00:00,8,20,98570,18954
2021-05-23 00:00:00,26,33,98596,18987
2021-05-24 00:00:00,28,22,98624,19009
2021-05-25 00:00:00,23,26,98647,19035
2021-05-26 00:00:00,32,43,98679,19078
2021-05-27 00:00:00,34,29,98713,19107
2021-05-28 00:00:00,33,30,98746,19137
2021-05-29 00:00:00,37,11,98783,19148
2021-05-30 00:00:00,12,11,98795,19159
2021-05-31 00:00:00,24,17,98819,19176
2021-06-01 00:00:00,21,9,98840,19185
2021-06-02 00:00:00,22,14,98862,19199
2021-06-03 00:00:00,8,5,98870,19204
2021-06-04 00:00:00,22,10,98892,19214
2021-06-05 00:00:00,20,9,98912,19223
2021-06-06 00:00:00,7,8,98919,19231
2021-06-07 00:00:00,10,9,98929,19240
2021-06-08 00:00:00,12,6,98941,19246
2021-06-09 00:00:00,23,11,98964,19257
2021-06-10 00:00:00,7,13,98971,19270
2021-06-11 00:00:00,64,10,99035,19280
2021-06-12 00:00:00,19,3,99054,19283
2021-06-13 00:00:00,3,4,99057,19287
2021-06-14 00:00:00,2,1,99059,19288
2021-06-15 00:00:00,1,4,99060,19292
2021-06-16 00:00:00,4,10,99064,19302
2021-06-17 00:00:00,9,10,99073,19312
2021-06-18 00:00:00,7,7,99080,19319
2021-06-19 00:00:00,6,4,99086,19323
2021-06-20 00:00:00,8,4,99094,19327
2021-06-21 00:00:00,11,2,99105,19329
2021-06-22 00:00:00,9,9,99114,19338
2021-06-23 00:00:00,13,4,99127,19342
2021-06-24 00:00:00,2,3,99129,19345
2021-06-25 00:00:00,6,5,99135,19350
2021-06-26 00:00:00,2,1,99137,19351
2021-06-27 00:00:00,1,0,99138,19351
2021-06-28 00:00:00,4,0,99142,19351
2021-06-29 00:00:00,13,11,99155,19362
2021-06-30 00:00:00,34,5,99189,19367
2021-07-01 00:00:00,32,9,99221,19376
2021-07-02 00:00:00,16,7,99237,19383
2021-07-03 00:00:00,14,8,99251,19391
2021-07-04 00:00:00,9,8,99260,19399
2021-07-05 00:00:00,31,10,99291,19409
2021-07-06 00:00:00,25,13,99316,19422
2021-07-07 00:00:00,22,18,99338,19440
2021-07-08 00:00:00,74,15,99412,19455
2021-07-09 00:00:00,66,15,99478,19470
2021-07-10 00:00:00,54,15,99532,19485
2021-07-11 00:00:00,55,9,99587,19494
2021-07-12 00:00:00,53,15,99640,19509
2021-07-13 00:00:00,64,20,99704,19529
2021-07-14 00:00:00,97,29,99801,19558
2021-07-15 00:00:00,123,28,99924,19586
2021-07-16 00:00:00,119,27,100043,19613
2021-07-17 00:00:00,86,34,100129,19647
2021-07-18 00:00:00,179,29,100308,19676
2021-07-19 00:00:00,137,30,100445,19706
2021-07-20 00:00:00,100,40,100545,19746
2021-07-21 00:00:00,185,50,100730,19796
2021-07-22 00:00:00,162,62,100892,19858
2021-07-23 00:00:00,159,49,101051,19907
2021-07-24 00:00:00,182,65,101233,19972
2021-07-25 00:00:00,123,46,101356,20018
2021-07-26 00:00:00,105,41,101461,20059
2021-07-27 00:00:00,157,66,101618,20125
2021-07-28 00:00:00,202,76,101820,20201
2021-07-29 00:00:00,154,71,101974,20272
2021-07-30 00:00:00,169,75,102143,20347
2021-07-31 00:00:00,201,83,102344,20430
2021-08-01 00:00:00,139,51,102483,20481
2021-08-02 00:00:00,164,57,102647,20538
2021-08-03 00:00:00,175,68,102822,20606
2021-08-04 00:00:00,198,75,103020,20681
2021-08-05 00:00:00,177,87,103197,20768
2021-08-06 00:00:00,149,113,103346,20881
2021-08-07 00:00:00,172,94,103518,20975
2021-08-08 00:00:00,155,91,103673,21066
2021-08-09 00:00:00,92,70,103765,21136
2021-08-10 00:00:00,218,119,103983,21255
2021-08-11 00:00:00,309,117,104292,21372
2021-08-12 00:00:00,206,92,104498,21464
2021-08-13 00:00:00,234,172,104732,21636
2021-08-14 00:00:00,246,163,104978,21799
2021-08-15 00:00:00,122,91,105100,21890
2021-08-16 00:00:00,170,100,105270,21990
2021-08-17 00:00:00,267,124,105537,22114
2021-08-18 00:00:00,161,113,105698,22227
2021-08-19 00:00:00,190,118,105888,22345
2021-08-20 00:00:00,207,101,106095,22446
2021-08-21 00:00:00,124,142,106219,22588
2021-08-22 00:00:00,88,86,106307,22674
2021-08-23 00:00:00,232,123,106539,22797
2021-08-24 00:00:00,262,120,106801,22917
2021-08-25 00:00:00,258,116,107059,23033
2021-08-26 00:00:00,150,109,107209,23142
2021-08-27 00:00:00,226,119,107435,23261
2021-08-28 00:00:00,179,121,107614,23382
2021-08-29 00:00:00,196,106,107810,23488
2021-08-30 00:00:00,216,80,108026,23568
2021-08-31 00:00:00,225,142,108251,23710
2021-09-01 00:00:00,276,105,108527,23815
2021-09-02 00:00:00,123,96,108650,23911
2021-09-03 00:00:00,200,108,108850,24019
2021-09-04 00:00:00,154,98,109004,24117
2021-09-05 00:00:00,151,74,109155,24191
2021-09-06 00:00:00,134,71,109289,24262
2021-09-07 00:00:00,143,87,109432,24349
2021-09-08 00:00:00,117,78,109549,24427
2021-09-09 00:00:00,190,80,109739,24507
2021-09-10 00:00:00,89,80,109828,24587
2021-09-11 00:00:00,114,81,109942,24668
2021-09-12 00:00:00,79,64,110021,24732
2021-09-13 00:00:00,104,59,110125,24791
2021-09-14 00:00:00,139,82,110264,24873
2021-09-15 00:00:00,80,65,110344,24938
2021-09-16 00:00:00,84,73,110428,25011
2021-09-17 00:00:00,93,64,110521,25075
2021-09-18 00:00:00,60,50,110581,25125
2021-09-19 00:00:00,50,39,110631,25164
2021-09-20 00:00:00,57,55,110688,25219
2021-09-21 00:00:00,165,74,110853,25293
2021-09-22 00:00:00,230,33,111083,25326
2021-09-23 00:00:00,68,45,111151,25371
2021-09-24 00:00:00,72,45,111223,25416
2021-09-25 00:00:00,42,45,111265,25461
2021-09-26 00:00:00,56,41,111321,25502
2021-09-27 00:00:00,80,33,111401,25535
2021-09-28 00:00:00,81,39,111482,25574
2021-09-29 00:00:00,104,46,111586,25620
2021-09-30 00:00:00,65,26,111651,25646
2021-10-01 00:00:00,84,37,111735,25683
